Scenario,Algorithm,Metric,N_Repetitions,Mean,Std,SEM,CI_95_Low,CI_95_High,Margin,CI_String
S1_Density,D-LoRa,PDR,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S1_Density,DQoC-A,PDR,5,0.2973,0.0,0.0,0.2973,0.2973,0,0.2973 ± 0.0000
S1_Density,QoC-A,PDR,5,0.46699999999999997,0.0,0.0,0.46699999999999997,0.46699999999999997,0,0.4670 ± 0.0000
S1_Density,ToW,PDR,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S1_Density,UCB1-Tuned,PDR,5,52.0286,0.0,0.0,52.0286,52.0286,0,52.0286 ± 0.0000
S2_TrafficLoad,D-LoRa,PDR,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S2_TrafficLoad,DQoC-A,PDR,5,0.2973,0.0,0.0,0.2973,0.2973,0,0.2973 ± 0.0000
S2_TrafficLoad,QoC-A,PDR,5,0.46699999999999997,0.0,0.0,0.46699999999999997,0.46699999999999997,0,0.4670 ± 0.0000
S2_TrafficLoad,ToW,PDR,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S2_TrafficLoad,UCB1-Tuned,PDR,5,52.0286,0.0,0.0,52.0286,52.0286,0,52.0286 ± 0.0000
S3_MobilitySpeed,D-LoRa,PDR,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S3_MobilitySpeed,DQoC-A,PDR,5,0.2973,0.0,0.0,0.2973,0.2973,0,0.2973 ± 0.0000
S3_MobilitySpeed,QoC-A,PDR,5,0.46699999999999997,0.0,0.0,0.46699999999999997,0.46699999999999997,0,0.4670 ± 0.0000
S3_MobilitySpeed,ToW,PDR,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S3_MobilitySpeed,UCB1-Tuned,PDR,5,52.0286,0.0,0.0,52.0286,52.0286,0,52.0286 ± 0.0000
S4_MobilityPercentage,D-LoRa,PDR,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S4_MobilityPercentage,DQoC-A,PDR,5,0.2973,0.0,0.0,0.2973,0.2973,0,0.2973 ± 0.0000
S4_MobilityPercentage,QoC-A,PDR,5,0.46699999999999997,0.0,0.0,0.46699999999999997,0.46699999999999997,0,0.4670 ± 0.0000
S4_MobilityPercentage,ToW,PDR,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S4_MobilityPercentage,UCB1-Tuned,PDR,5,52.0286,0.0,0.0,52.0286,52.0286,0,52.0286 ± 0.0000
S1_Density,D-LoRa,EnergyEfficiency,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S1_Density,DQoC-A,EnergyEfficiency,5,0.276315,0.0,0.0,0.276315,0.276315,0,0.2763 ± 0.0000
S1_Density,QoC-A,EnergyEfficiency,5,0.43398900000000007,0.0,0.0,0.43398900000000007,0.43398900000000007,0,0.4340 ± 0.0000
S1_Density,ToW,EnergyEfficiency,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S1_Density,UCB1-Tuned,EnergyEfficiency,5,2.48035,0.0,0.0,2.48035,2.48035,0,2.4804 ± 0.0000
S2_TrafficLoad,D-LoRa,EnergyEfficiency,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S2_TrafficLoad,DQoC-A,EnergyEfficiency,5,0.276315,0.0,0.0,0.276315,0.276315,0,0.2763 ± 0.0000
S2_TrafficLoad,QoC-A,EnergyEfficiency,5,0.43398900000000007,0.0,0.0,0.43398900000000007,0.43398900000000007,0,0.4340 ± 0.0000
S2_TrafficLoad,ToW,EnergyEfficiency,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S2_TrafficLoad,UCB1-Tuned,EnergyEfficiency,5,2.48035,0.0,0.0,2.48035,2.48035,0,2.4804 ± 0.0000
S3_MobilitySpeed,D-LoRa,EnergyEfficiency,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S3_MobilitySpeed,DQoC-A,EnergyEfficiency,5,0.276315,0.0,0.0,0.276315,0.276315,0,0.2763 ± 0.0000
S3_MobilitySpeed,QoC-A,EnergyEfficiency,5,0.43398900000000007,0.0,0.0,0.43398900000000007,0.43398900000000007,0,0.4340 ± 0.0000
S3_MobilitySpeed,ToW,EnergyEfficiency,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S3_MobilitySpeed,UCB1-Tuned,EnergyEfficiency,5,2.48035,0.0,0.0,2.48035,2.48035,0,2.4804 ± 0.0000
S4_MobilityPercentage,D-LoRa,EnergyEfficiency,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S4_MobilityPercentage,DQoC-A,EnergyEfficiency,5,0.276315,0.0,0.0,0.276315,0.276315,0,0.2763 ± 0.0000
S4_MobilityPercentage,QoC-A,EnergyEfficiency,5,0.43398900000000007,0.0,0.0,0.43398900000000007,0.43398900000000007,0,0.4340 ± 0.0000
S4_MobilityPercentage,ToW,EnergyEfficiency,5,0.0,0.0,0.0,0.0,0.0,0,0.0000 ± 0.0000
S4_MobilityPercentage,UCB1-Tuned,EnergyEfficiency,5,2.48035,0.0,0.0,2.48035,2.48035,0,2.4804 ± 0.0000
